lam_q88,lam_actual,F1,P,R,avg_tokens_sent,avg_tok_len,tok20k_sec,tok20k_maxrss_kb,docs_per_sec
51.0,0.199219,0.835862,0.891331,0.786891,26.6409,2.0012,0.41,4024.0,48670.73
50.0,0.195312,0.837809,0.890377,0.791102,26.8122,1.9885,0.41,3308.0,48670.73
39.0,0.152344,0.837995,0.875524,0.803552,27.6961,1.925,0.44,3660.0,45352.27
38.0,0.148438,0.838119,0.874925,0.804284,27.7403,1.9219,0.42,4252.0,47511.9
15.0,0.058594,0.838175,0.852785,0.824057,29.1602,1.8283,0.46,5160.0,43380.43
14.0,0.054688,0.839063,0.851887,0.82662,29.2818,1.8208,0.41,3748.0,48670.73
12.0,0.046875,0.839075,0.851328,0.82717,29.3204,1.8184,0.44,4248.0,45352.27
